Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location,
01235-009,1,17-Mar-17,Jouse2 Instruction Sheet,LM,,,\\vault\cslt\products\AT\jouse\Users Guide\Jouse2_Instruction_Sheet,
01235-010,1,17-Mar-17,Jouse3 Instruction Sheet,LM,,,\\vault\cslt\products\AT\jouse\Users Guide\Jouse3_Instruction_Sheet,
01235-011,1,17-Mar-17,Jouse4 Instruction Sheet,LM,,,\\vault\cslt\products\AT\jouse\Users Guide\Jouse4_Instruction_Sheet,
,,,,,,,,
01246-001,1,12-Sep-01,Atlas of Canada Next Generation - Technical Proposal,WE/BOR,,,/cslt/docs/2001/01246/proposal/tech,
01246-002,1,12-Sep-01,Atlas of Canada Next Generation - Financial Proposal,WE/RT/BOR,,,/cslt/docs/2001/01246/proposal/cost,
,,,,,,,,
01259-001,1,14-Sep-01,Geomatics Project in Mozambique- Technical and Management Proposal,WE/BOR,,,/cslt/docs/2001/01259/proposal/tech/body.bk,
01259-002,1,14-Sep-01,Geomatics Project in Mozambique - Price Proposal,WE/BOR,,,/cslt/docs/2001/01259/proposal/cost/body.bk,
,,,,,,,,
01261-001,1,04-Sep-01,Asset Management and Tracking System for the MTA Police Department - Technical Proposal,PTM,,01261 File,/cslt/docs/2001/01261/proposal/tech/body.bk,
01261-002,1,04-Sep-01,Asset Management and Tracking System for the MTA Police Department - Cost Proposal,PTM,,01261 File,/cslt/docs/2001/01261/proposal/cost/body.bk,
,,,,,,,,
01266-001,1,07-Sep-01,Provision of a Phase 2 UKHO Web Site - PQQ Response,WE/PTM/BOR,,,/cslt/docs/2001/01266/pqq_response/body.bk,
,,,,,,,,
01271-001,1,10-Sep-01,Fixed Asset Inventory Management and Bar Code Software- Technical Proposal,PTM/VC,,01271 File,/cslt/docs/2001/01271/proposal/Compusult Limited Response to RFP No. B2Z01066.doc,
01271-002,1,10-Sep-01,Covering letter for Proposal,PTM,,01271 File,/cslt/docs/2001/01271/letters/Compusult Limited Covering Letter for RFP Number B2Z01066.doc,
01271-003,1,12-Oct-01,Letter re: Answers to questions regarding proposal,PTM,,01271 File,/cslt/docs/2001/01271/letters/Compusult Limited Response to Questions regarding RFP Number B2Z01066.doc,
01271-004,1,10-Nov-01,"Letter re: Follow-up to Nov. 14 demo in Jefferson City, MO",PTM,,01271 File,/cslt/docs/2001/01271/letters/01271-004.doc,
01271-005,1,17-Dec-01,Fixed Asset Inventory Management and Bar Code Software- Best and Final Offer (BAFO),PTM/VC,,01271 File,/cslt/docs/2001/01271/bafo/Compusult Limited BAFO for RFP No. B2Z01066.doc,
01271-006,1,17-Dec-01,Cover letter for BAFO documents,PTM,,01271 File,/cslt/docs/2001/01271/letters/Compusult Limited Covering Letter for BAFO for RFP Number B2Z01066.doc,
01271-007,1,26-Feb-02,"Quote to Donna James, Dept. of Labor & Industrial Relations",,,,,
Tel: 573-751-0322,,,,,,,,
Fax: 573-751-3077,,,,,,,,
E-mail: djames@dolir.state.mo.us,PTM,,01271 File,/cslt/docs/2001/01271/quotes/Compusult Quote for DOLIR 2002-02-26.doc (MS Word Doc),,,,
01271-008,1,03-Apr-02,"Quote to Trenton Blair, Missouri State Senate",,,,,
Tel: 573-751-2945,,,,,,,,
Fax: 573-751-2745,,,,,,,,
E-mail: tblair@senate.state.mo.us,PTM,,01271 File,/cslt/docs/2001/01271/quotes/Compusult Quote for Missouri Senate 2002-04-03.doc (FrameMaker Doc),,,,
01271-009,1,17-Apr-02,"Quote to Jerry Kopp, Missouri National Guard",,,,,
Tel: 573-638-9565,,,,,,,,
E-mail: jerry.kopp@mo.ngb.army.mil,PTM,,01271 File,/cslt/docs/2001/01271/quotes/Compusult Quote for ARNG 2002-04-17.doc (MS Word Doc Doc),,,,
01271-011,1,29-Apr-02,"FasseTrack Quote to Brad Werner, Missouri State House of Representatives",,,,,
Tel: 573-751-3022,,,,,,,,
Fax: 573-522-2040,PTM,,01271 File,/cslt/docs/2001/01271/quotes/Compusult Quote 01271-011 for Missouri House of Representatives 2002-04-29.doc (FrameMaker Doc),,,,
01271-011a,1,30-Apr-02,"Revised FasseTrack Quote to Brad Werner, Missouri State House of Representatives",,,,,
Tel: 573-751-3022,,,,,,,,
Fax: 573-522-2040,PTM,,01271 File,/cslt/docs/2001/01271/quotes/Compusult Quote 01271-011a for Missouri House of Representatives 2002-04-30.doc (FrameMaker Doc),,,,
01271-012,1,30-Apr-02,"Bar Code Label Printer & Accessories Quote to Brad Werner, Missouri State House of Representatives",,,,,
Tel: 573-751-3022,,,,,,,,
Fax: 573-522-2040,PTM,,01271 File,/cslt/docs/2001/01271/quotes/Compusult Quote 01271-012 for Missouri House of Representatives 2002-04-30.doc (FrameMaker Doc),,,,
01271-013,1,01-May-02,"Letter to Brad Werner, Missouri State House of Representatives confirming Novell 4.11 compatibility and training dates.",PTM,,01271 File,/cslt/docs/2001/01271/letters/01271-013.doc,
01271-014,1,09-Sep-02,"FasseTrack Quote to Brad Werner, Missouri State House of Representatives",,,,,
Tel: 573-751-7623,,,,,,,,
Fax: 573-526-1146,PTM,,01271 File,/cslt/docs/2001/01271/quotes/Compusult Quote for Missouri Dept. of Natural Resources 2002-09-09.doc (FrameMaker Doc),,,,
01271-015,1,13-Apr-04,Letter to Angela Morris re: Work Performed Offshore,PTM,,01271 File,/cslt/docs/2001/10271/letters/01271-015.doc,
,,,,,,,,
01274-001,1,17-Sep-01,Compusult Limited Corporate Profile - Prepared for the Security and Information Systems Directorate (SISD),WE,,,/cslt/docs/2001/01274/corporate_crofile,
,,,,,,,,
01315-001,1,10-Oct-01,Letter to Jon Kennedy re: Memorandum of Understanding (MOU) between Compusult & CAPTEC.,WE/BOR,,,/cslt/docs/2001/01315/letters/01315-001,
,,,,,,,,
01320-001,1,03-Dec-01,Federated Information Warehouse Metadata Repository Tool(s) - RFI Response,WE/BOR,,,/cslt/docs/2001/01320/rfi_response/body.bk,
,,,,,,,,
01328-001,1,23-Oct-01,CPIGS fot the CINC-21 Community - Proposal,BOR,,,/cslt/docs/2001/01328/proposal/body.bk,
01328-002,1,29-Apr-02,JWID Site Administration - Reference Guide (Not yet written),WE,,,/cslt/docs/2001/01328/jwid_admin_manual/,
01328-003,1,01-May-02,JWID Metadata Server and Portal Configuration - Reference Guide,WE/DOM/DG,,,/cslt/docs/2001/01328/ref_guide/doc.bk,
01328-004,1,03-Jul-02,Compusult Support to the Canadian Portal for Imagery and Gepspatial Services - Proposal,WE/BOR,,,/cslt/docs/2001/01328/proposal2/body.bk,
01328-005,1,12-Dec-02,Compusult Support and Services to NIMA for JWID 03 - Proposal (Project No. changed to 02472 and new proposal issued. See /cslt/docs/02472/proposal/body.bk),WE/BOR,,,/cslt/docs/2001/01328/proposal3/body.bk,
01328-006,1,14-Jan-03,Compusult Support to the Canadian Portal for Imagery and Geospatial Services - Implementation Plan,WE/BOR,,,/cslt/docs/2001/01328/imp_plan/doc.bk,
01328-Q006/A,1,09-Sep-03,,,,,,
09-Oct-03,FasseTrack and mata Manager support,PTM,,,/cslt/docs/2001/01328/0quotes,,,
01328-007,1,31-Mar-06,CPIGS Training for DND - Proposal,PTM,,,/cslt/docs/2001/01328/2006_work/training_proposal/body.book,
,,,,,,,,
01334-001,1,21-Nov-01,OGC Multi-Hazard Mapping Initiative (MMI) - Proposal,WE/BOR,,,/cslt/docs/2001/01334/rfq_response/doc.bk,
01334-002,1,18-Jan-02,MMI-1 - Installation and User Guide,WE/BOR,,,/cslt/docs/2001/01334/ref_guide/doc.bk,
,,,,,,,,
01336-001,1,???,Digital Image management Program Phase 0/1/2 - Proposal,WE/BOR,,,/cslt/docs/2001/01336/proposal/body.bk,
01336-002,1,???,Digital Image management Program Phase 0/1/2 - Cover Letter,WE/BOR,,,/cslt/docs/2001/01336/proposal/intro_letter.doc,
,,,,,,,,
01379-001,1,07-Dec-01,Telethon Data Entry System - Proposal,WE/PTM,,,/cslt/docs/2001/01379/proposal/body.bk,
01379-002,1,28-Feb-02,Telethon Data Entry System - System Design Manual,BG/PTM,,01379 File,/cslt/docs/2001/01379/sdm/doc.bk,
01379-003,1,03-Apr-02,Letter to Ken Corbett with first revisions of SDM and TDES software,PTM,,01379 File,/cslt/docs/2001/01379/letters/01379-003.doc,
,,,,,,,,
1393,1,21-Jan-02,,,,,,
,,,,,,,,
01403-001,1,13-Mar-02,Information Management Technology Services - Proposal,WE/BOR/,,,/cslt/docs/2001/01403/proposal/sect_1/,
/cslt/docs/2001/01403/proposal/sect_2/,,,,,,,,
/cslt/docs/2001/01403/proposal/sect_3/,,,,,,,,
/cslt/docs/2001/01403/proposal/sect_4/,,,,,,,,
,,,,,,,,
01414-001,1,15-Jan-02,GLOBAL Terrain On-line (GTO) - RFQ Response,WE/BOR,,,/cslt/docs/2001/01414/rfq_response/body.bk,
01414-002,1,29-May-02,GLOBAL Terrain On-line (GTO) - Proposal,WE/BOR,,,/cslt/docs/2001/01414/proposal/body.bk,
,,,,,,,,
01415-001,1,17-Dec-01,Comparative Study of Electronic tendering Systems,WE/BOR,,,/cslt/docs/2001/01415/letters/response.doc,
,,,,,,,,
01431-001,1,12-Feb-02,"GOL2/C BP&C, IPS - Compusult Limited Offer",,,,,
(EN537-01GOL2/196/EL),WE/BOR/PTM,,,/cslt/docs/2001/01431/offer/vol_1/,,,,
/cslt/docs/2001/01431/offer/vol_2/,,,,,,,,
/cslt/docs/2001/01431/offer/vol_3/,,,,,,,,
/cslt/docs/2001/01431/offer/vol_4/,,,,,,,,
,,,,,,,,
01432-001,1,12-Feb-02,GOL2/D Composite Solutions - Compusult Limited Offer,,,,,
(EN537-01GOL2/482/EL),WE/BOR/PTM,,,/cslt/docs/2001/01432/offer/vol_1/,,,,
/cslt/docs/2001/01432/offer/vol_2/,,,,,,,,
/cslt/docs/2001/01432/offer/vol_3/,,,,,,,,
/cslt/docs/2001/01432/offer/vol_4/,,,,,,,,
,,,,,,,,
01438-001,1,21-Jan-02,EUB Sour Gas Internet GIS Site - Proposal,WE/BOR,,,/cslt/docs/2001/01438/proposal/body.bk,
,,,,,,,,
01440-001,1,21-Jan-02,MSRM Integrated Data Warehouse and Access -Conceptual Architecture and Requirements Analysis - Proposal,WE/BOR,,,/cslt/docs/2001/01440/proposal/body.bk,
01440-002,1,21-Jan-02,MSRM Integrated Data Warehouse and Access -Conceptual Architecture and Requirements Analysis - Cover Letter,WE/BOR,,,/cslt/docs/2001/01440/letters/cover_letter,
,,,,,,,,
01446-001,1,14-Jan-02,NBGD for the CGKN - Technical and Management Proposal,WE/BOR,,,/cslt/docs/2001/01446/proposal/tech/,
01446-002,1,14-Jan-02,NBGD for the CGKN - Price Proposal and Method of Payment proposal,WE/BOR,,,/cslt/docs/2001/01446/proposal/cost/,
01446-003,0.1,11-Feb-02,NBGD for the CGKN - Draft Implementation Plan,WE/BOR,,,/cslt/docs/2001/01446/imp_plan/doc.bk,
01446-003,1,05-Mar-02,NBGD for the CGKN - Implementation Plan,WE/BOR,,,/cslt/docs/2001/01446/imp_plan/doc.bk,
01446-004,1,11-Feb-02,NBGD for the CGKN - Quality Assurance (QA) Plan,WE/BOR,,,/cslt/docs/2001/01446/qa_plan/doc.bk,
01446-005,1,04-Apr-02,NBGD for the CGKN - User’s Guide,WE/BOR,,,/cslt/docs/2001/01446/users_guide/doc.bk,
,,,,,,,,
01450-001,1,14-Jan-02,MSRM Meta-content Strategy - Proposal,WE/BOR,,,/cslt/docs/2001/01450/proposal/,
01450-002,1,14-Jan-02,MSRM Meta-content Strategy - Cover Letter,WE/BOR,,,/cslt/docs/2001/01450/letters/cover_letter,
,,,,,,,,
01453-001,1,24-Jan-02,Geochemical Database Toolkit - Technical Proposal,WE/BOR,,,/cslt/docs/2001/01453/proposal/tech/body.bk,
01453-002,1,24-Jan-02,Geochemical Database Toolkit - Financial Proposal,WE/BOR,,,/cslt/docs/2001/01453/proposal/cost/body.bk,
01453-003,1,13-Feb-02,Geochemical Database Toolkit - Technical Proposal Clarifications,WE/BOR,,,/cslt/docs/2001/01453/proposal/geochemical_clarifications,
,,,,,,,,
01462-001,1,28-Feb-02,Provision of Disaster Management Information Products and Services (DMIPS) - Technical and Management Offer,WE/BOR,,,/cslt/docs/2001/01462/offer/tech/body.bk,
01462-002,1,28-Feb-02,Provision of Disaster Management Information Products and Services (DMIPS) - Price Offer,WE/BOR,,,/cslt/docs/2001/01462/offer/price/body.bk,
,,,,,,,,
01467-001,1,06-Feb-02,GIS Application Upgrade to the AF DCGS - RFI Response,WE/BOR,,,/cslt/docs/2001/01467/proposal/body.bk,
,,,,,,,,
01473-001,1,01-Mar-02,Integrated Knowledge Discovery Toolkit Response - (Sent by E-mail) (JIVA-related),BOR/WE,,,/cslt/docs/2001/01473/barry.doc,
,,,,,,,,
01901-0604,1,12-Apr-06,Meta Manager Quote for Environment Canada: Lina Assad,RT,,,/cslt/products/meta_manager/promos,
01901-0516,1,16-May-08,Quotation for WES X Tier 1 License for SAIC,RT,,,cslt\docs\2001\01901\quotations,
01901-0516LM,1,16-May-08,Quotation for WES X Tier 1 Development Licenses forLockheed Martin,RT,,,cslt\docs\2001\01901\quotations,
,,,,,,,,
01905-1216,1,17-Feb-10,Quotation for WES X Tier 1 Annual Support for LM,RT,,,cslt\docs\2001\01905\quotations,
,,,,,,,,
01908-001,1,03-Jul-01,Meta Miner Software Evaluation Agreement for NRCAN.,WE,,,/cslt/docs/agreements/nrcan_meta_miner_eval_agreement.doc,
,,,,,,,,
01911.144-001,1,09-Jun-16,United Nations Development Programme (UNDP) Expression of Interest,PTM,,,\\vault\cslt\docs\2001\01911\Tenders\fiscal2017\01911.144-Call_for_the_Expressions_of_Interest_(EoI)_and_Prequalification_for_the_Long_Term_Agreement_(LTA)_on_the_Supply_of_Assistive_Devices\Compusult_Limited_response_to_UNDP_EOI_Ref_No_PHL-EOI-2016-002.fm,
,,,,,,,,
01911.150-001,1,17-Jan-17,Elections Canada - Proposal - Section 1 - Technical Proposal,SK,,,\\vault\cslt\docs\2001\01911\Tenders\fiscal2017\01911.150-PWGSC_Hand_Held_Magnifying_Glass_With_LED_Light_&_Pouch\proposal\Section 1 - Technical Proposal\doc.book,
01911.150-002,1,17-Jan-17,Elections Canada - Proposal - Section 2 - Financial Proposal,SK,,,\\vault\cslt\docs\2001\01911\Tenders\fiscal2017\01911.150-PWGSC_Hand_Held_Magnifying_Glass_With_LED_Light_&_Pouch\proposal\Section 2 - Financial Proposal\doc - Section 2 Financial Proposal.book,
01911.150-003,1,17-Jan-17,Elections Canada - Proposal - Section 3 - Certifications,SK,,,\\vault\cslt\docs\2001\01911\Tenders\fiscal2017\01911.150-PWGSC_Hand_Held_Magnifying_Glass_With_LED_Light_&_Pouch\proposal\Section 3 - Certifications\doc - Section 3 Certifications.book,
,,,,,,,,
01911.158-001,1,02-Nov-17,Organization to develop and pilot a Digital Accessible Textbook for children with disabilities - Technical Proposal,PTM,,,\\VAULT\cslt\docs\2001\01911\Tenders\fiscal2018\01911.158_Organization_to_develop_and_pilot_a_digital_accessible_textbook_for_Children_with_disabilities\proposal\01_technical_proposal\doc.book,
01911.158-002,1,02-Nov-17,Organization to develop and pilot a Digital Accessible Textbook for children with disabilities - Financial Proposal,PTM,,,\\VAULT\cslt\docs\2001\01911\Tenders\fiscal2018\01911.158_Organization_to_develop_and_pilot_a_digital_accessible_textbook_for_Children_with_disabilities\proposal\02_financial_proposal\doc.book,
,,,,,,,,
01911.159-001,1,13-Nov-17,Collecting data on assistive products in three target countries - Technical Proposal,PTM,,,\\vault\cslt\docs\2001\01911\Tenders\fiscal2018\01911.159_Collecting_data_on_assistive_products_in_three_target_countries\proposal\01_technical_proposal\doc.book,
01911.159-002,1,13-Nov-17,Collecting data on assistive products in three target countries - Financial Proposal,PTM,,,\\vault\cslt\docs\2001\01911\Tenders\fiscal2018\01911.159_Collecting_data_on_assistive_products_in_three_target_countries\proposal\02_financial_proposal\doc.book,
,,,,,,,,
01930.31-001,1,14-Mar-16,District of Columbia Courts Office of Contracts and Procurement Proposal,PM,,,\\VAULT\cslt\docs\2001\01930-FT\Tenders\01930.31-DOCC_Inventory_Management_&_Control_System\proposal\doc.book,
,,,,,,,,
01930.51-001,1,03-Nov-16,Ministry of Education Singapore Proposal,RR/PM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\2016\01930.51-Supply_of_a_Commercial_Off-The-Shelf_(COTS)_System_that_provides_Asset_Management_Solution\proposal\doc.book,
,,,,,,,,
01930.54-001,1,28-Nov-16,"Supply, Delivery and Install of RFID Asset Tracking System for School Proposal",LL/RR,,,\\vault\cslt\docs\2001\01930-FT\Tenders\2016\01930.54_To_supply_deliver_&_install_of_RFID_Asset_Tracking_System_for_school\proposal\doc.book,
,,,,,,,,
01930.67-001,1,07-Aug-17,Asset Management Software (RFID) - Response,PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\fiscal2018\01930.67_EOI_Asset_Management_Software_RFID\response\doc.book,
,,,,,,,,
01930.70-001,1,15-Sep-17,"COTS Asset Management System - Department of Labor, OSAM, RFI - Response",PTM,,,\\VAULT\cslt\docs\2001\01930-FT\Tenders\!fiscal2018\01930.70_Asset_Management_System\Proposal\doc.book,
,,,,,,,,
01930.71-001,1,15-Sep-17,"Inventory and Tracking Software - Alberta Records Center, RFI - Response",PTM,,,\\VAULT\cslt\docs\2001\01930-FT\Tenders\!fiscal2018\01930.71-Alberta_Inventory_&_Tracking_Software\proposal\doc.book,
,,,,,,,,
01930.73-001,1,20-Nov-17,Real Time Parts Tracking - Response to Sources Sought,PTM,,,\\VAULT\cslt\docs\2001\01930-FT\Tenders\!fiscal2018\01930.73_Real_Time_Parts_Tracking\rfi_response\doc.book,
,,,,,,,,
01930.80-001,1,13-Mar-18,Provision of a Records and Archives Location Management System Using Bar Codes - Expression of Interest,PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\!fiscal2019\01930.80_Provision_Records_&_Archives_Locations_Management_System_Barcodes\rfi_response\doc.book,
01930.80-002,1,13-Mar-18,Provision of a Records and Archives Location Management System Using Bar Codes - Letter of Expression of Interest,PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\!fiscal2019\01930.80_Provision_Records_&_Archives_Locations_Management_System_Barcodes\rfi_response\letter_of_EOI.fm,
,,,,,,,,
01930.74-001,1,16-Nov-17,"Supply, Installation, and Commissioning of an Asset Tracking Solution - Technical Proposal",PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\!fiscal2018\01930.74_Supply_Install_&_Commissioning_of_an_Asset_tracking_solution\proposal\technical\doc.book,
01930.74-002,1,16-Nov-17,"Supply, Installation, and Commissioning of an Asset Tracking Solution - Commercial Proposal",PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\!fiscal2018\01930.74_Supply_Install_&_Commissioning_of_an_Asset_tracking_solution\proposal\commercial\doc.book,
,,,,,,,,
01930.78-001,1,05-Feb-18,Quartermaster Inventory System - Technical Proposal,PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\!fiscal2018\01930.78_Quartermaster_Inventory_System\proposal\technical\doc.book,
,,,,,,,,
01930.81-001,1,08-Mar-18,Surgical Instrument Tracking and Instrument Tray Mapping System - Response to RFI,PTM,WE,,\\VAULT\cslt\docs\2001\01930-FT\Tenders\!fiscal2019\01930.81_Surgical_Instrument_Tracking_&_Instrument_Tray_Mapping_System\rfi_response\doc.book,
,,,,,,,,
01930.84-001,1,25-May-18,Property Management System,PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\!fiscal2019\01930.84_Property_Management_System\rfi_response\doc.book,
,,,,,,,,
01930-90-001,1,10-Aug-18,"Supply, Install and Configure Asset Management",PTM,,,\\vault\cslt\docs\2001\01930-FT\Tenders\!fiscal2019\01930.90_NLESD_Asset_Management\proposal\doc.book,
,,,,,,,,
,,,,,,,,
01932-010,1,16-Apr-10,Air Canada System Asset Management Project - Proposal,PTM/RT/BEP/CIC/WE,,,\\vault\cslt\products\fassetrack\CICO\Air Canada\2010-04-16 Proposal\body.book,
,,,,,,,,
01952-001,2,Aug-06,Vindicator2 System User’s Manual,KW/WE,,,/cslt/products/Vindicator2/Manual/0vindicator2.book,
,,,,,,,,
01966-001,1,?? Apr 14,USBox Install Guide,SC,,,\cslt\products\AT\USBox\documentation\USBox Install Guide.doc ,
,,,,,,,,
02007-001,1,18-Feb-02,Development of a Custom Computer Application to Query and Display Harvest Study GIS Data - Proposal,WE/BOR,,,/cslt/docs/2002/02007/proposal/body.bk,
,,,,,,,,
02025-001,1,12-Apr-02,Letter to Lockheed Martin Canada re: offer to sub-contract on ISTAR-TD,WE/BOR,,,/cslt/docs/2002/02025/letters/LMC_letter.doc,
,,,,,,,,
02045-001,1,03-Apr-02,Icebreaking Operations Data Information System (IODIS) - Technical and Management Proposal,WE/BOR,,,/cslt/docs/2002/02045/proposal/tech/body.bk,
02045-002,1,03-Apr-02,Icebreaking Operations Data Information System (IODIS) - Financial Proposal,WE/BOR,,,/cslt/docs/2002/02045/proposal/cost/body.bk,
02045-003,1,03-Apr-02,Icebreaking Operations Data Information System (IODIS) - Certification,WE/BOR,,,/cslt/docs/2002/02045/proposal/cert/body.bk,
,,,,,,,,
02048-001,1,29-Mar-02,Billing and Accounting System for the EOS DAACs - RFI Response,WE/BOR,,,/cslt/docs/2002/02048/rfi_response/response.doc,
,,,,,,,,
02070-001,1,26-Mar-02,OWS 1.2 - Letter of Intent,WE,,,/cslt/docs/2002/02070/letters/loi.doc,
02070-002,1,12-Apr-02,Proposal for Compusult Participation in the OGC Web Services Initiative Thread Set 2 and Demonstration,WE,,,/cslt/docs/2002/02070/rfq_response/doc.bk,
,,,,,,,,
02104-001,1,30-May-02,"SAR Application - Development, Data Integration & Maintenance Services - Technical and Management Proposal",WE/BOR,,,/cslt/docs/2002/02104/proposal/,
,,,,,,,,
02109-001,1,30-May-02,WebLink - Marine Information Skyway Concept Proposal,WE/BOR,,,/cslt/docs/2002/02109/concept_proposal/,
,,,,,,,,
02115-001,1,06-Jun-02,Community & Regional Profiles GIS Project - Implementation of a Web-Based Community Profiles System - Proposal,WE/BOR,,,/cslt/docs/2002/02115/proposal/,
02115-002,1,06-Jun-02,Community & Regional Profiles GIS Project - Implementation of a Web-Based Community Profiles System - Letter of Introduction,WE/BOR,,,/cslt/docs/2002/02115/proposal/cover_letter.doc,
,,,,,,,,
02151-001,1,21-Jun-02,Provision of Professional Services (Senior Programmer Analyst),PTM/WE,,,/cslt/docs/2002/02151/proposal/body.bk,
,,,,,,,,
02188-001,1,07-May-03,Proposal for Web-Based Battlespace Visualization,,,,,
Incorporate Thales ATS Functionality,BOR/LB,,,/cslt/docs/2002/02188/proposal_ATS/body.bk,,,,
02188-002,0.1,24-Sep-03,GIS Situational Awareness Viewer - Draft Project Plan,BOR/WE,,,/cslt/docs/2002/02188/bv_project_plan/bv_project_plan_030924.pdf,
02188-002,0.2,24-Sep-03,GIS Situational Awareness Viewer - Draft Project Plan,BOR/WE,,,/cslt/docs/2002/02188/bv_project_plan/bv_project_plan2_030924.pdf,
02188-002,1,02-Oct-03,GIS Situational Awareness Viewer - Project Plan,BOR/WE,,,/cslt/docs/2002/02188/bv_project_plan/bv_project_plan_031002.pdf,
02188-003,0.1,?? Sep 03,GIS Situational Awareness Viewer - Draft System Requirements Specification (SRS),BOR/WE,,,/cslt/docs/2002/02188/bv_srs/srs_031006.pdf,
02188-003,1,?? Oct 03,GIS Situational Awareness Viewer - System Requirements Specification (SRS),BOR/WE,,,/cslt/docs/2002/02188/bv_srs/doc.bk,
02188-004,0.1,?? Sep 03,GIS Situational Awareness Viewer - Draft Architecture Document,BOR/WE,,,/cslt/docs/2002/02188/bv_architecture/doc_split.bk,
02188-005,0.1,?? ??? 04,GIS Situational Awareness Viewer - Draft Acceptance Tet Plan,BOR/WE,,,/cslt/docs/2002/02188/bv_atp/0atp.bk,
02188-006,0.1,29-Mar-04,Letter to Scott Mutton Regarding WES Intellectual Property,BOR/WE,,,/cslt/docs/2002/02188/intellectual_property/intellectual_property_040329.doc,
02188-007,1,20-Oct-04,Letter to Claude Roy Regarding WES Intellectual Property,BOR/WE,,,/cslt/docs/2002/02188/intellectual_property/intellectual_property_041020.doc,
,,,,,,,,
02226-001,1,16-Aug-02,Provision of Professional Services - Tourism Destination Management System,WE/PTM/BOR,,,/cslt/docs/2002/02226/proposal/body.bk,
,,,,,,,,
02202-001,1,22-Jul-02,Bar Code Inventory Control System - Proposal,,,,,
(prepared for McGrath Consulting),PTM,,02202 File,/cslt/docs/2002/02202/proposal/body.bk,,,,
,,,,,,,,
02207-001,1,06-Aug-02,Asset Management System - Proposal,,,,,
(prepared for McGrath Consulting),PTM,,02207 File,/cslt/docs/2002/02207/proposal/body.bk,,,,
02207-002,1,05-Sep-02,Letter to NSRR CO Capt. John Warnecke re: IT1 Mark Jones,PTM,,02207 File,/cslt/docs/2002/02207/letters/02207-002.doc,
02207-003,1,05-Sep-02,Letter to NSRR CO Capt. John Warnecke re: MM2 (SW) Abraham A. Kritz,PTM,,02207 File,/cslt/docs/2002/02207/letters/02207-003.doc,
,,,,,,,,
02231-001,1,02-Sep-02,Provision of IT Personnel and Project Services as a Strategic Partner to the Marine Institute Ireland - Proposal,WE/RT/BOR,,,/cslt/docs/2002/02231/proposal/body.bk,
,,,,,,,,
02256-001,1,20-Sep-02,"Proposal for Compusult Participation in the OGC Critical Infrastructure Protection Initiative, Phase 1 (CIPI-1)",WE/BOR,,,/cslt/docs/2002/02256/rfq_response/doc.bk,
02256-002,1,15-Oct-02,GeoConnections OGC CIPI-1 - Proposal,WE/BOR,,,/cslt/docs/2002/02256/geoconnections_rfq_response/doc.bk,
02256-003,1,31-Mar-03,GeoConnections OGC CIPI-1 - Final Report,WE/BOR,,,/cslt/docs/2002/02256/geoconnections_final_report/body.bk,
02256-004,1,17-Jan-03,CIPI-1 - Installation and User Guide,WE/BOR,,,/cslt/docs/2002/02256/ref_guide/doc/bk,
,,,,,,,,
02272-001,1,04-Sep-02,Supply Management System - Phase I Price Proposal,,,,,
(prepared for McGrath Consulting),PTM,,02272 File,/cslt/docs/2002/02272/proposal/body.bk,,,,
,,,,,,,,
02297-001,1,16-Oct-02,CEOCat for RADARSAT-2 - Proposal,WE/BOR,,,/cslt/docs/2002/02297/proposal/body.bk,
02297-002,0.1,26-Feb-03,CEOCat for RADARSAT-2 - Draft Acceptance test Plan,WE/BOR,,,/cslt/docs/2002/02297/atp/draft_atp_030226.pdf,
02297-002,1,10-Apr-03,CEOCat for RADARSAT-2 - Acceptance Test Plan,WE/BOR,,,/cslt/docs/2002/02297/atp/0atp.bk,
02297-003,1,27-Jan-03,Letter to Susan McAninch providing details for the contract.,WE/BOR,,,/cslt/docs/2002/02297/letters/02297-003.doc,
,,,,,,,,
02323-001,1,10-Oct-02,BIO Standards-Based Infrastructure - Proposal,WE/BOR,,,/cslt/docs/2002/02323/proposal/doc.bk,
,,,,,,,,
02352-001,1,22-Nov-02,Provision of Professional Services - Operational Data Store Solution - Proposal,WE/RT/BOR,,,/cslt/docs/2002/02352/proposal/body.bk,
,,,,,,,,
02355-001,1,29-Nov-02,Provision of Professional Services - Programmer,WE/RT/BOR,,,/cslt/docs/2002/02355/proposal/body.bk,
,,,,,,,,
02357-001,1,04-Dec-02,Government Electronic Tendering Service (GETS III) - Partnering Expression of Interest,WE/BOR,,,/cslt/docs/2002/02357/partnering_eoi/body.bk,
,,,,,,,,
02359-001,1,13-Nov-02,Compusult Limited - Business Plan,WE/BOR,,,/cslt/docs/2002/02359/business_plan/body.bk,
02359-001/002,,Jan27/03,,,,,,
Mar21/03,advance payment request,PTM/VFC,,,cslt/docs/2002/02359/,,,
